Name,Winrate,KDA,Rank,Image,RImg
Ashe,48.03,1.97,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Ashe.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Fiora,47.99,1.69,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Fiora.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Renata Glasc,47.99,2.19,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Renata.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Braum,47.97,2.34,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Braum.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Kha'Zix,47.89,1.92,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Khazix.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Vladimir,47.87,1.78,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Vladimir.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Tahm Kench,47.78,2.11,Iron,"https://opgg-static.akamaized.net/images/lol/champion/TahmKench.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Nunu & Willump,47.73,2.18,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Nunu.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Ahri,47.72,1.95,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Ahri.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Aphelios,47.68,1.74,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Aphelios.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Wukong,47.64,1.92,Iron,"https://opgg-static.akamaized.net/images/lol/champion/MonkeyKing.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Lulu,47.53,2.35,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Lulu.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Varus,47.35,1.89,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Varus.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Xayah,47.24,1.85,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Xayah.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Ezreal,47.23,1.96,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Ezreal.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Sylas,46.99,1.74,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Sylas.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Kalista,46.99,1.85,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Kalista.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Kennen,46.93,1.75,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Kennen.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Pantheon,46.89,1.82,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Pantheon.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Vex,46.87,1.92,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Vex.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Corki,46.8,1.77,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Corki.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Kled,46.79,2.01,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Kled.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Orianna,46.76,2.14,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Orianna.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
